file,version,true_label,has_reentrancy_eth,num_reentrancy_detectors,cei_violation,num_external_calls,has_low_level_call,has_dangerous_call,num_functions,has_modifier,has_reentrancy_guard,has_emit_after_call,has_mutex_pattern,has_block_protection,num_require_assert,has_state_set_before_call,num_modifiers_applied,has_internal_ext_call,has_interface_cast,has_extcodesize,has_nested_mapping,lines_of_code,has_msg_value,has_payable
Block_ree1.sol,05,1,1,1,1,1,1,1,2,1,0,0,0,1,3,1,2,0,0,0,0,24,1,1
Block_safe1.sol,05,0,1,1,1,1,1,1,2,1,0,0,0,1,3,1,2,0,0,0,0,24,1,1
Block_safe2.sol,05,0,0,0,0,1,1,1,2,1,0,0,0,1,3,1,2,0,0,0,0,24,1,1
Call_ree1.sol,05,1,1,1,1,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,15,1,1
Call_safe1.sol,05,0,0,0,0,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,15,1,1
CallCons_safe1.sol,05,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1,1
CallEmit_safe1.sol,05,0,0,1,0,1,1,1,2,0,0,1,0,0,2,1,0,0,0,0,0,17,1,1
CallFolded_ree1.sol,05,1,1,1,0,1,1,1,3,0,0,0,0,0,2,0,0,1,0,0,0,18,1,1
CallFolded_ree2.sol,05,1,1,1,0,1,1,1,4,0,0,0,0,0,2,0,0,1,0,0,0,21,1,1
CallFolded_ree3.sol,05,1,1,1,0,2,1,1,6,0,0,0,0,0,2,0,0,1,0,0,0,27,1,1
CallFolded_safe1.sol,05,0,0,0,0,1,1,1,3,0,0,0,0,0,2,0,0,1,0,0,0,18,1,1
CallFolded_safe2.sol,05,0,0,0,0,1,1,1,4,0,0,0,0,0,2,0,0,1,0,0,0,21,1,1
CallFolded_safe3.sol,05,0,0,0,0,2,1,1,6,0,0,0,0,0,2,0,0,1,0,0,0,27,1,1
CallGas_ree1.sol,05,1,1,1,1,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,15,1,1
CallGas_safe1.sol,05,0,0,0,0,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,15,1,1
CallGas_safe2.sol,05,0,1,1,1,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,15,1,1
Cast_ree1.sol,05,1,0,1,1,1,0,0,3,0,0,0,0,0,2,1,0,0,1,0,0,18,1,1
Cast_safe1.sol,05,0,0,0,0,1,0,0,3,0,0,0,0,0,2,1,0,0,1,0,0,18,1,1
Cast_safe2.sol,05,0,0,0,1,1,0,0,3,0,0,1,0,0,2,0,0,0,1,0,0,18,1,1
CastCons_safe1.sol,05,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0
CastCons_safe2.sol,05,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,18,0,0
CastEmit_safe1.sol,05,0,0,1,0,1,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,19,1,1
CastFolded_ree1.sol,05,1,0,1,0,1,0,0,4,0,0,0,0,0,2,0,0,1,1,0,0,21,1,1
CastFolded_ree2.sol,05,1,0,1,0,1,0,0,5,0,0,0,0,0,2,0,0,1,1,0,0,24,1,1
CastFolded_ree3.sol,05,1,0,1,0,1,0,0,6,0,0,0,0,0,2,0,0,1,1,0,0,27,1,1
CastFolded_safe1.sol,05,0,0,0,0,1,0,0,5,0,0,0,0,0,2,0,0,1,1,0,0,21,1,1
CastFolded_safe2.sol,05,0,0,0,0,1,0,0,6,0,0,0,0,0,2,0,0,1,1,0,0,24,1,1
CastFolded_safe3.sol,05,0,0,0,0,1,0,0,7,0,0,0,0,0,2,0,0,1,1,0,0,27,1,1
Constant_ree1.sol,05,1,1,1,1,1,1,1,4,0,0,0,0,0,3,1,0,0,0,0,0,29,1,1
Constant_safe1.sol,05,0,0,0,0,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,16,1,1
Constructor_ree1.sol,05,1,1,1,1,1,1,1,4,0,0,0,0,0,3,1,0,0,0,0,0,32,1,1
Constructor_safe1.sol,05,0,0,0,0,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,19,1,1
Create_ree1.sol,05,1,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,1,0,0,46,1,1
Create_ree2.sol,05,1,0,1,0,1,0,0,5,0,0,0,0,0,1,1,0,0,1,0,0,71,1,1
Create_safe1.sol,05,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,22,1,1
Create_safe2.sol,05,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,22,1,1
CrossCall_ree1.sol,05,1,1,1,1,1,1,1,5,0,0,0,0,0,3,0,0,0,0,0,0,22,1,1
CrossCall_safe2.sol,05,0,0,0,0,1,1,1,5,0,0,0,0,0,3,1,0,0,0,0,0,22,1,1
CrossDoubleInit_ree1.sol,05,1,1,1,1,1,1,1,5,1,1,0,0,0,3,0,2,0,0,0,0,55,1,1
